date,thr,y_true,y_true_high,proba_high,pred_high_0p5,train_pos_rate,target,high_q,class_weight
2025-12-04,0.03254641694101855,0.0118697943577157,0,0.01631920017027217,0,0.052083333333333336,target_absret_next7d,0.95,None
2025-12-05,0.03252548010428831,0.0110341959462881,0,0.033846305965233046,0,0.05190311418685121,target_absret_next7d,0.95,None
2025-12-06,0.03250454326755809,0.0108720125146439,0,0.05122550593891216,0,0.05172413793103448,target_absret_next7d,0.95,None
2025-12-07,0.03248360643082785,0.0123108710271935,0,0.18850640491498152,0,0.05154639175257732,target_absret_next7d,0.95,None
2025-12-08,0.03246266959409761,0.0147854994678861,0,0.05740272489341005,0,0.05136986301369863,target_absret_next7d,0.95,None
2025-12-09,0.03244173275736737,0.0139157296242178,0,0.03323819837529499,0,0.051194539249146756,target_absret_next7d,0.95,None
2025-12-10,0.03242079592063713,0.0155017695397784,0,0.047523050220735004,0,0.05102040816326531,target_absret_next7d,0.95,None
2025-12-11,0.03239985908390691,0.0159079852892799,0,0.07922910930241162,0,0.05084745762711865,target_absret_next7d,0.95,None
2025-12-12,0.03237892224717667,0.0167269965019792,0,0.018769771909074286,0,0.05067567567567568,target_absret_next7d,0.95,None
2025-12-13,0.03235798541044644,0.0170676065593608,0,0.02970416119017893,0,0.050505050505050504,target_absret_next7d,0.95,None
2025-12-14,0.0323370485737162,0.0141542730247709,0,0.04300524917234916,0,0.050335570469798654,target_absret_next7d,0.95,None
2025-12-15,0.03231611173698596,0.0114728424274814,0,0.07360297908786857,0,0.05016722408026756,target_absret_next7d,0.95,None
2025-12-16,0.03229517490025574,0.0108889849417168,0,0.10100678550954047,0,0.05,target_absret_next7d,0.95,None
2025-12-17,0.0322742380635255,0.0085330233498966,0,0.15953261610386557,0,0.053156146179401995,target_absret_next7d,0.95,None
2025-12-18,0.03226890461671113,0.0080006926071206,0,0.4411356658070943,0,0.052980132450331126,target_absret_next7d,0.95,None
2025-12-19,0.03226357116989676,0.0038649140543423,0,0.24242058845798456,0,0.052805280528052806,target_absret_next7d,0.95,None
2025-12-20,0.03225823772308239,0.0042921545551849,0,0.24860183953055812,0,0.05263157894736842,target_absret_next7d,0.95,None
2025-12-21,0.03225290427626802,0.0039387727428443,0,0.07573457241646397,0,0.05245901639344262,target_absret_next7d,0.95,None
2025-12-22,0.03224757082945365,0.0049144945519811,0,0.054878990206518194,0,0.05228758169934641,target_absret_next7d,0.95,None
2025-12-23,0.03224223738263928,0.0051984694015124,0,0.04174340190772145,0,0.05211726384364821,target_absret_next7d,0.95,None
2025-12-24,0.03223690393582491,0.0062807129501228,0,0.02244692897234707,0,0.05194805194805195,target_absret_next7d,0.95,None
2025-12-25,0.032231570489010535,0.0075574680721327,0,0.013789008631893326,0,0.05177993527508091,target_absret_next7d,0.95,None
2025-12-26,0.032226237042196175,0.0092504098629768,0,0.014949557898818518,0,0.05161290322580645,target_absret_next7d,0.95,None
2025-12-27,0.0322209035953818,0.0094578424751629,0,0.012426290568821104,0,0.05144694533762058,target_absret_next7d,0.95,None
2025-12-28,0.03221557014856743,0.0108193162893975,0,0.022046207637643516,0,0.05128205128205128,target_absret_next7d,0.95,None
2025-12-29,0.03221023670175306,0.0132695012055084,0,0.04927019624411653,0,0.051118210862619806,target_absret_next7d,0.95,None
2025-12-30,0.03220490325493869,0.0114207192116107,0,0.020180852482139123,0,0.050955414012738856,target_absret_next7d,0.95,None
2025-12-31,0.03219956980812432,0.0137303230688843,0,0.02440254517149383,0,0.050793650793650794,target_absret_next7d,0.95,None
2026-01-01,0.032194236361309955,0.0121965272292285,0,0.02976075203345777,0,0.05063291139240506,target_absret_next7d,0.95,None
2026-01-02,0.03218890291449558,0.0110755242453542,0,0.03562426547800186,0,0.050473186119873815,target_absret_next7d,0.95,None
2026-01-03,0.03218356946768121,0.0102534852217516,0,0.06699035968178867,0,0.050314465408805034,target_absret_next7d,0.95,None
2026-01-04,0.032178236020866835,0.0095142066004601,0,0.04297832168221553,0,0.050156739811912224,target_absret_next7d,0.95,None
2026-01-05,0.032172902574052475,0.0064714743413273,0,0.016670642228563785,0,0.05,target_absret_next7d,0.95,None
2026-01-06,0.0321675691272381,0.0125969342856661,0,0.03674029381161381,0,0.0529595015576324,target_absret_next7d,0.95,None
